,p1 travel time [ns],s1 travel time [ns],p-s delta t 1 [ns],p2 travel time [ns],s2 travel time [ns],p-s delta t 2 [ns]
0.0,22265.270346145044,22268.797522779034,-3.527176633990166,21941.46100333403,21943.77414513997,-2.3131418059419957
0.15707963267948966,22264.811187270614,22268.797522779034,-3.98633550841987,21940.97997763048,21943.77414513997,-2.794167509491672
0.3141592653589793,22263.47880385284,22268.797522779034,-5.318718926195288,21939.584165860575,21943.77414513997,-4.189979279395629
0.47123889803846897,22261.404005005632,22268.797522779034,-7.393517773401982,21937.410668776563,21943.77414513997,-6.363476363407244
0.6283185307179586,22258.79036350848,22268.797522779034,-10.00715927055353,21934.672822679317,21943.77414513997,-9.101322460654046
0.7853981633974483,22255.894106308475,22268.797522779034,-12.903416470559023,21931.63909506248,21943.77414513997,-12.135050077489723
0.9424777960769379,22252.998886029774,22268.797522779034,-15.798636749259458,21928.606626424422,21943.77414513997,-15.167518715548795
1.0995574287564276,22250.3879592281,22268.797522779034,-18.409563550932944,21925.872076377083,21943.77414513997,-17.90206876288721
1.2566370614359172,22248.316515929793,22268.797522779034,-20.481006849240657,21923.702653436107,21943.77414513997,-20.071491703864012
1.413716694115407,22246.98684720867,22268.797522779034,-21.810675570362946,21922.310137718254,21943.77414513997,-21.464007421716815
1.5707963267948966,22246.52872525627,22268.797522779034,-22.268797522763634,21921.83037099483,21943.77414513997,-21.943774145140196
