,p1 travel time [ns],s1 travel time [ns],p-s delta t 1 [ns],p2 travel time [ns],s2 travel time [ns],p-s delta t 2 [ns]
0.0,53615.200534115305,22268.797522779034,31346.40301133627,67654.957265711,21943.77414513997,45711.183120571026
0.15707963267948966,50702.66170858556,22268.797522779034,28433.864185806528,61549.33413894511,21943.77414513997,39605.55999380514
0.3141592653589793,44329.50138854938,22268.797522779034,22060.70386577035,50250.32809608687,21943.77414513997,28306.5539509469
0.47123889803846897,37854.783972790625,22268.797522779034,15585.986450011591,40764.48075369504,21943.77414513997,18820.70660855507
0.6283185307179586,32523.293804065688,22268.797522779034,10254.496281286654,34076.653621764155,21943.77414513997,12132.879476624184
0.7853981633974483,28916.81555342261,22268.797522779034,6648.018030643576,29503.11728757543,21943.77414513997,7559.34314243546
0.9424777960769379,26317.395465539572,22268.797522779034,4048.597942760538,26382.580628945958,21943.77414513997,4438.806483805987
1.0995574287564276,24446.129013690166,22268.797522779034,2177.3314909111323,24278.58791698913,21943.77414513997,2334.81377184916
1.2566370614359172,23195.40071046811,22268.797522779034,926.6031876890775,22924.932970197537,21943.77414513997,981.158825057566
1.413716694115407,22479.470559347526,22268.797522779034,210.67303656849253,22166.327106338395,21943.77414513997,222.55296119842387
1.5707963267948966,22246.528725256263,22268.797522779034,-22.26879752277091,21921.830370994827,21943.77414513997,-21.943774145143834
