,p1 travel time [ns],s1 travel time [ns],p-s delta t 1 [ns],p2 travel time [ns],s2 travel time [ns],p-s delta t 2 [ns]
0.0,22254.95102186819,22268.797522779034,-13.846500910844043,21921.060865975705,21943.77414513997,-22.71327916426526
0.07853981633974483,22251.90943797981,22268.797522779034,-16.88808479922227,21919.828989873804,21943.77414513997,-23.945155266166694
0.15707963267948966,22242.690115529887,22268.797522779034,-26.10740724914649,21916.164960816615,21943.77414513997,-27.609184323355294
0.23561944901923448,22226.97331219526,22268.797522779034,-41.8242105837744,21910.162780989107,21943.77414513997,-33.611364150863665
0.3141592653589793,22204.069937167525,22268.797522779034,-64.7275856115084,21901.976449377424,21943.77414513997,-41.79769576254694
0.39269908169872414,22172.4965484307,22268.797522779034,-96.30097434833442,21891.81590813242,21943.77414513997,-51.95823700755136
0.47123889803846897,22128.50673751007,22268.797522779034,-140.2907852689641,21879.941329850208,21943.77414513997,-63.83281528976295
0.5497787143782138,22057.62995826029,22268.797522779034,-211.16756451874244,21866.65580964445,21943.77414513997,-77.11833549552102
0.6283185307179586,22022.967164607813,22268.797522779034,-245.83035817122072,21852.29666417897,21943.77414513997,-91.47748096099895
0.7068583470577035,22067.035798164143,22268.797522779034,-201.76172461489114,21837.225730198938,21943.77414513997,-106.54841494103312
0.7853981633974483,22088.94281195434,22268.797522779034,-179.85471082469303,21821.819222184495,21943.77414513997,-121.95492295547592
0.8639379797371931,22096.514882295265,22268.797522779034,-172.28264048376877,21806.45774044037,21943.77414513997,-137.31640469959893
0.9424777960769379,22095.312464757066,22268.797522779034,-173.48505802196814,21791.516865565445,21943.77414513997,-152.25727957452546
1.0210176124166828,22089.1830369338,22268.797522779034,-179.61448584523532,21777.35851342287,21943.77414513997,-166.41563171710004
1.0995574287564276,22080.731653035567,22268.797522779034,-188.06586974346646,21764.323015356196,21943.77414513997,-179.45112978377438
1.1780972450961724,22071.69287616534,22268.797522779034,-197.10464661369406,21752.721834322936,21943.77414513997,-191.0523108170346
1.2566370614359172,22063.207581895964,22268.797522779034,-205.58994088307008,21742.830901865378,21943.77414513997,-200.94324327459253
1.335176877775662,22056.018263356847,22268.797522779034,-212.77925942218644,21734.884664852492,21943.77414513997,-208.88948028747836
1.413716694115407,22050.60012257871,22268.797522779034,-218.1974002003226,21729.070988599244,21943.77414513997,-214.70315654072692
1.4922565104551517,22047.244660526714,22268.797522779034,-221.55286225231976,21725.52706075465,21943.77414513997,-218.24708438531889
1.5707963267948966,22046.10954755128,22268.797522779034,-222.68797522775276,21724.336403688576,21943.77414513997,-219.4377414513947
