,p1 travel time [ns],s1 travel time [ns],p-s delta t 1 [ns],p2 travel time [ns],s2 travel time [ns],p-s delta t 2 [ns]
0.0,20265.970751694407,20671.735504795055,-2.9772403992210457,20268.94799209363,20678.518667252854,-6.783162457799335
1.5707963267948966,20263.34695476643,20672.135885247942,-5.562782470224192,20268.909737236656,20678.483670783775,-6.347785535832372
