,p1 travel time [ns],s1 travel time [ns],p-s delta t 1 [ns],p2 travel time [ns],s2 travel time [ns],p-s delta t 2 [ns]
0.0,22502.9553900659,22506.583814975882,-3.628424909980822,22433.386121222513,22435.95724519792,-2.5711239754054986
0.15707963267948966,22501.871795941992,22506.583814975882,-4.712019033890101,22432.099437298995,22435.95724519792,-3.857807898923056
0.3141592653589793,22498.727967195027,22506.583814975882,-7.855847780854674,22428.365540128616,22435.95724519792,-7.591705069302407
0.47123889803846897,22493.8339590491,22506.583814975882,-12.749855926780583,22422.55048724592,22435.95724519792,-13.40675795199786
0.6283185307179586,22487.671640744815,22506.583814975882,-18.912174231067183,22415.2241743864,22435.95724519792,-20.7330708115187
0.7853981633974483,22480.8464800869,22506.583814975882,-25.737334888981422,22407.104379616532,22435.95724519792,-28.85286558138614
0.9424777960769379,22474.027408705835,22506.583814975882,-32.556406270046864,22398.98618136112,22435.95724519792,-36.97106383679784
1.0995574287564276,22467.88111651415,22506.583814975882,-38.702698461733235,22391.66405519613,22435.95724519792,-44.29319000178657
1.2566370614359172,22463.00688135892,22506.583814975882,-43.57693361696147,22385.854178013964,22435.95724519792,-50.10306718395441
1.413716694115407,22459.87906134153,22506.583814975882,-46.70475363435253,22382.124484982232,22435.95724519792,-53.832760215685994
1.5707963267948966,22458.80158651451,22506.583814975882,-47.78222846137214,22380.83940253028,22435.95724519792,-55.11784266763789
