,p1 travel time [ns],s1 travel time [ns],p-s delta t 1 [ns],p2 travel time [ns],s2 travel time [ns],p-s delta t 2 [ns]
0.0,20267.072116871343,20673.991022843937,-2.0068461185874185,20269.07896298993,20678.56963302505,-4.578610181113618
0.15707963267948966,20266.961820820386,20673.81116269029,-2.079332436693221,20269.04115325708,20678.560053772362,-4.7488910820720776
0.3141592653589793,20266.796033039176,20671.841895105274,-2.2838011895764794,20269.079834228753,20678.55965231526,-6.717757209986303
0.47123889803846897,20265.59293337997,20671.32883976035,-3.4860319189210713,20269.07896529889,20678.767416256982,-7.4385764966318675
0.6283185307179586,20265.499474515684,20668.473603173643,-3.579486243721476,20269.078960759405,20678.56406680159,-10.090463627948338
0.7853981633974483,20265.340384007017,20667.661093702587,-3.7391239540520473,20269.07950796107,20678.563101637923,-10.90200793533586
0.9424777960769379,20268.287541792597,20667.371337830067,-0.7917327931209002,20269.079274585718,20678.575687440032,-11.204349609964993
1.0995574287564276,20264.287677699267,20666.903572897743,-4.791575392206141,20269.079253091473,20678.58028849403,-11.676715596287977
1.2566370614359172,20263.90614154494,20666.540257863257,-5.17315964615409,20269.079301191094,20678.583154124757,-12.042896261500573
1.413716694115407,20263.47382316669,20664.037082059323,-5.605425564357574,20269.079248731046,20678.572124180915,-14.535042121591687
1.5707963267948966,20263.373985628255,20665.972928176587,-5.709406114085141,20269.08339174234,20678.66273581503,-12.68980763844229
