,p1 travel time [ns],s1 travel time [ns],p-s delta t 1 [ns],p2 travel time [ns],s2 travel time [ns],p-s delta t 2 [ns]
0.0,23067.255650699608,23341.7383768646,-1.6440023000250221,23068.899652999633,23346.673125671387,-4.934748806786956
0.15707963267948966,23067.108919027774,23341.90408334771,-1.7906775751362147,23068.89959660291,23346.67301000707,-4.768926659362478
0.3141592653589793,23066.376822161816,23341.060472166864,-2.5228269663530227,23068.89964912817,23346.6721740769,-5.611701910034753
0.47123889803846897,23065.382065323156,23340.42656022046,-3.518363216182479,23068.90042853934,23346.670683221713,-6.2441230012518645
0.6283185307179586,23064.55674372635,23339.281151683623,-4.343256457388634,23068.900000183738,23346.680828565506,-7.399676881883352
0.7853981633974483,23056.747596070818,23337.39474473808,-12.153704576849123,23068.901300647667,23346.59954913802,-9.204804399938439
0.9424777960769379,23063.785432706038,23334.013576124882,-5.121724814966001,23068.907157521004,23346.674488789224,-12.660912664341595
1.0995574287564276,23063.47819935148,23333.48635978862,-5.422329190467281,23068.900528541948,23346.672680743624,-13.186320955002884
1.2566370614359172,23062.73191201025,23333.280472639457,-6.1685767856142775,23068.900488795865,23346.70468105855,-13.424208419091883
1.413716694115407,23063.08090269258,23331.36746685411,-5.8195600621111225,23068.900462754693,23346.68012274204,-15.312655887930305
1.5707963267948966,23062.437909248834,23332.6831350219,-6.462323371972161,23068.900232620806,23346.677737210463,-13.994602188562567
