,p1 travel time [ns],s1 travel time [ns],p-s delta t 1 [ns],p2 travel time [ns],s2 travel time [ns],p-s delta t 2 [ns]
0.0,22290.215231999777,22268.797522779034,21.417709220742836,21942.145698152253,21943.77414513997,-1.628446987717325
0.07853981633974483,22288.20399924303,22268.797522779034,19.406476463995205,21942.015920991726,21943.77414513997,-1.7582241482450627
0.15707963267948966,22282.046813352437,22268.797522779034,13.249290573403414,21941.62984483848,21943.77414513997,-2.144300301490148
0.23561944901923448,22271.33726623132,22268.797522779034,2.53974345228562,21940.997261641223,21943.77414513997,-2.7768834987473383
0.3141592653589793,22255.241110911742,22268.797522779034,-13.5564118672919,21940.134525387282,21943.77414513997,-3.6396197526883043
0.39269908169872414,22232.064141639006,22268.797522779034,-36.73338114002763,21939.064442238065,21943.77414513997,-4.709702901905985
0.47123889803846897,22197.737867835418,22268.797522779034,-71.0596549436159,21937.815855881374,21943.77414513997,-5.958289258596778
0.5497787143782138,22136.856604268873,22268.797522779034,-131.94091851016128,21936.422784194172,21943.77414513997,-7.35136094579866
0.6283185307179586,22118.288754951416,22268.797522779034,-150.5087678276177,21934.923068748078,21943.77414513997,-8.851076391893002
0.7068583470577035,22174.05062779274,22268.797522779034,-94.74689498629232,21933.356677175074,21943.77414513997,-10.417467964896787
0.7853981633974483,22208.14080730224,22268.797522779034,-60.65671547679449,21931.763970422602,21943.77414513997,-12.0101747173685
0.8639379797371931,22228.076924754267,22268.797522779034,-40.72059802476724,21930.184288429682,21943.77414513997,-13.589856710288586
0.9424777960769379,22239.088816650165,22268.797522779034,-29.70870612886938,21928.655057996224,21943.77414513997,-15.119087143746583
1.0210176124166828,22244.68680085038,22268.797522779034,-24.11072192865322,21927.211370757934,21943.77414513997,-16.562774382036878
1.0995574287564276,22247.14772674728,22268.797522779034,-21.649796031753795,21925.885789448395,21943.77414513997,-17.88835569157527
1.1780972450961724,22247.900780036565,22268.797522779034,-20.896742742468632,21924.70812486114,21943.77414513997,-19.066020278831274
1.2566370614359172,22247.815333750223,22268.797522779034,-20.982189028811263,21923.705046840445,21943.77414513997,-20.06909829952565
1.335176877775662,22247.40422144377,22268.797522779034,-21.393301335265278,21922.899536793087,21943.77414513997,-20.87460834688318
1.413716694115407,22246.960112616,22268.797522779034,-21.837410163032473,21922.310273852472,21943.77414513997,-21.463871287498478
1.4922565104551517,22246.64235904216,22268.797522779034,-22.155163736875693,21921.951060912554,21943.77414513997,-21.823084227416985
1.5707963267948966,22246.52872525626,22268.797522779034,-22.26879752277455,21921.83037099483,21943.77414513997,-21.943774145140196
