,p launch,t_p [ns],s launch,t_s [ns],p-s delta launch,p-s delta t [ns]
0.0,0.9442893110902857,3501.4750690665423,1.0038795472791855,3360.901020979906,-0.0595902361888998,140.57404808663614
-100.0,0.7822270745163112,4177.935133829482,1.3733129287296442,5930.130786321073,-0.5910858542133329,-1752.1956524915913
-200.0,1.1862208738621622,5814.6896597589675,1.1962639084138933,5815.074570999281,-0.010043034551731056,-0.3849112403131585
-300.0,1.4125709865051606,5900.399509677233,1.4111246395213894,5900.390870146521,0.0014463469837711074,0.008639530712571286
-400.0,1.347077616801148,6010.125520819105,1.3465054440626267,6010.123239727053,0.0005721727385212816,0.002281092051816813
-500.0,1.2655185937953444,6162.230132991954,1.265243026273048,6162.22927026714,0.0002755675222962939,0.0008627248134871479
-600.0,1.1821268312263027,6360.350880646217,1.181976996866754,6360.350462712786,0.00014983435954873947,0.0004179334309810656
-700.0,1.101861903117708,6602.739662769945,1.1017729621937122,6602.739419304533,8.894092399569509e-05,0.00024346541249542497
-800.0,1.0267016622688643,6885.70526448979,1.0266453131111,6885.705071446072,5.634915776431271e-05,0.00019304371835460188
-900.0,0.9573743161813852,7204.916019650558,0.9573368136737804,7204.9158485721855,3.7502507604814106e-05,0.00017107837265939452
-1000.0,0.8939946185613448,7556.002531141227,0.8939686943402563,7556.0023620654665,2.592422108849135e-05,0.00016907576082303422
-1100.0,0.8363549988747027,7934.85431834803,0.8363365283484361,7934.854150874307,1.8470526266578524e-05,0.00016747372228564927
-1200.0,0.7840820311048915,8337.755681221253,0.7840685369280719,8337.755544051723,1.3494176819617287e-05,0.00013716953071707394
-1300.0,0.7367279206700004,8761.430558824759,0.7367178524634566,8761.430453820754,1.0068206543811797e-05,0.0001050040045811329
-1400.0,0.6938250592694282,9203.03612041474,0.6938174197638021,9203.03594070461,7.639505626100274e-06,0.00017971012857742608
-1500.0,0.6549176329392256,9660.130312115612,0.654911736675782,9660.13015665028,5.896263443605498e-06,0.00015546533177257515
-1600.0,0.6195787081109887,10130.628208915374,0.6195741006021048,10130.627965167025,4.6075088838692935e-06,0.00024374834902118891
-1700.0,0.5874182871390872,10612.754869748322,0.5874146307280351,10612.754708302627,3.656411052044284e-06,0.0001614456941751996
-1800.0,0.5580857426924799,11105.001297793911,0.5580828113113518,11105.001138969103,2.931381128057353e-06,0.00015882480875006877
-1900.0,0.5312691121249177,11606.083964912712,0.5312667430087054,11606.083701535072,2.3691162123196108e-06,0.0002633776402944932
-2000.0,0.5066926694653963,12114.909287119772,0.506690727714895,12114.90911942522,1.9417505012775393e-06,0.00016769455214671325
