,p1 launch,p1 travel time [ns],p1 d(n sin(angle)),s1 launch,s1 travel time [ns],s1 d(n sin(angle)),p-s delta launch 1,p-s delta t 1 [ns],p2 launch,p2 travel time [ns],p2 d(n sin(angle)),s2 launch,s2 travel time [ns],s2 d(n sin(angle)),p-s delta launch 2,p-s delta t 2 [ns],p comp time,s comp time
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.56019115447998,15.093180894851685
-200.0,1.1863161207363848,5876.930331442291,4.440892098500626e-16,1.1962639114572937,5823.059601341907,0.0,-0.0099477907209089,53.87073010038421,1.3898389198635241,5871.278070358782,4.440892098500626e-16,1.3816127548750998,5813.865054824738,0.0,0.008226164988424323,57.41301553404446,18.50795841217041,5.257435083389282
-400.0,0.8854297037377864,6498.033542923211,4.440892098500626e-16,0.8875536679439243,6452.437690213328,6.661338147750939e-16,-0.0021239642061379183,45.59585270988282,1.3470719952164258,6074.455974103774,4.440892098500626e-16,1.3465054515132147,6016.671614411178,6.661338147750939e-16,0.0005665437032111864,57.7843596925959,17.050982236862183,4.894940614700317
-600.0,0.8188423114484462,7279.967166333471,7.105427357601002e-15,0.8173696602434537,7236.879173285893,7.549516567451064e-15,0.0014726512049925145,43.08799304757849,1.182125358413983,6428.500236160688,7.105427357601002e-15,1.1819769995222749,6373.675981668879,7.549516567451064e-15,0.00014835889170816685,54.82425449180846,15.247368335723877,4.3580803871154785
-800.0,0.7393351629028426,8121.921081953781,3.1086244689504383e-15,0.7386929777751028,8082.226890090469,1.7763568394002505e-15,0.000642185127739836,39.69419186331197,1.0267011116221585,6959.578052750236,3.1086244689504383e-15,1.0266453154323967,6908.98096260601,1.7763568394002505e-15,5.579618976181422e-05,50.59709014422606,13.148273468017578,3.7601401805877686
-1000.0,0.6639962351667407,9026.141985786286,4.418687638008123e-14,0.6636625228731836,8989.881726924614,4.440892098500626e-14,0.00033371229355705356,36.2602588616719,0.8939943704746078,7637.168497316322,4.418687638008123e-14,0.8939686978190228,7591.1524357989765,4.440892098500626e-14,2.567265558506282e-05,46.016061517345406,11.439546346664429,3.251767873764038
-1200.0,0.5982127014255042,9982.321736929785,1.4210854715202004e-14,0.5980210606060279,9949.219171590361,3.3306690738754696e-15,0.00019164081947631306,33.10256533942447,0.78408189947283,8427.417764602453,1.4210854715202004e-14,0.7840685394373721,8385.802452612546,3.3306690738754696e-15,1.3360035457932184e-05,41.61531198990633,9.91369080543518,2.855607271194458
-1400.0,0.5419984881143389,10979.64364272813,1.7463808177353712e-13,0.5418805374366692,10949.346639283582,1.5298873279334657e-13,0.00011795067766973144,30.297003444547954,0.6938249888307769,9302.093227110077,1.7463808177353712e-13,0.6938174219842762,9264.458604370664,1.5298873279334657e-13,7.566846500717261e-06,37.63462273941332,8.757794618606567,2.5037710666656494
-1600.0,0.4941273767736607,12009.181436627427,1.3644640972643174e-13,0.4940508742151185,11981.344611675248,1.20570220474292e-13,7.650255854219079e-05,27.836824952179086,0.6195786701121596,10239.74963698536,1.3644640972643174e-13,0.6195741017148695,10205.611424387838,1.20570220474292e-13,4.5683972901278125e-06,34.13821259752149,7.790191173553467,2.2526679039001465
-1800.0,0.4532244538201839,13064.020431903175,5.291322935363496e-13,0.4531727248141164,13038.333027614739,5.703215677499429e-13,5.172900606748021e-05,25.687404288435573,0.5580857195218889,11224.6889446067,5.291322935363496e-13,0.5580828173114925,11193.582816699345,5.703215677499429e-13,2.902210396449334e-06,31.106127907354676,7.043516635894775,2.0214591026306152
-2000.0,0.4180637263582055,14138.898791163003,5.736522368238184e-13,0.41802753416820626,14115.091121456571,6.309397448944765e-13,3.619218999922902e-05,23.807669706431625,0.5066926563762446,12245.544060203682,5.736522368238184e-13,0.5066907337550722,12217.057650855526,6.309397448944765e-13,1.9226211723788467e-06,28.486409348155576,6.366523742675781,1.8333511352539062
