,p1 launch,p1 travel time [ns],p1 d(n sin(angle)),s1 launch,s1 travel time [ns],s1 d(n sin(angle)),p-s delta launch 1,p-s delta t 1 [ns],p2 launch,p2 travel time [ns],p2 d(n sin(angle)),s2 launch,s2 travel time [ns],s2 d(n sin(angle)),p-s delta launch 2,p-s delta t 2 [ns],p comp time,s comp time
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.12029266357422,16.080339908599854
-200.0,1.124159676182159,6327.02794743741,2.220446049250313e-16,1.1962639114572937,5823.059601341907,0.0,-0.07210423527513465,503.96834609550297,1.4376123939505825,6392.74076596457,2.220446049250313e-16,1.3816127548750998,5813.865054824738,0.0,0.055999639075482666,578.8757111398318,21.073159217834473,5.6640403270721436
-400.0,0.9031661136401932,6897.09485295345,2.220446049250313e-16,0.8875536679439243,6452.437690213328,6.661338147750939e-16,0.01561244569626885,444.65716274012175,1.3514074507636518,6591.556400463163,2.220446049250313e-16,1.3465054515132147,6016.671614411178,6.661338147750939e-16,0.004901999250437106,574.8847860519854,19.423125743865967,5.299425363540649
-600.0,0.8294796434194646,7648.251272162039,2.220446049250313e-16,0.8173696602434537,7236.879173285893,7.549516567451064e-15,0.012109983176010863,411.3720988761461,1.1832746399903438,6911.608455042707,2.220446049250313e-16,1.1819769995222749,6373.675981668879,7.549516567451064e-15,0.0012976404680689058,537.9324733738276,16.600741386413574,4.7180259227752686
-800.0,0.74414401719233,8454.604107212157,1.3322676295501878e-15,0.7386929777751028,8082.226890090469,1.7763568394002505e-15,0.005451039417227244,372.37721712168786,1.0271349402588161,7397.0450869594015,1.3322676295501878e-15,1.0266453154323967,6908.98096260601,1.7763568394002505e-15,0.0004896248264194547,488.0641243533919,14.473647594451904,4.014669895172119
-1000.0,0.6665309788041602,9325.806499956152,1.3322676295501878e-15,0.6636625228731836,8989.881726924614,4.440892098500626e-14,0.002868455930976621,335.9247730315383,0.8941943036770378,8027.790128092067,1.3322676295501878e-15,0.8939686978190228,7591.1524357989765,4.440892098500626e-14,0.00022560585801500999,436.63769229309037,12.633124828338623,3.49822735786438
-1200.0,0.5996794587140455,10253.005257828969,1.1102230246251565e-13,0.5980210606060279,9949.219171590361,3.3306690738754696e-15,0.0016583981080176002,303.7860862386078,0.7841860320844773,8775.17665680642,1.1102230246251565e-13,0.7840685394373721,8385.802452612546,3.3306690738754696e-15,0.00011749264710525509,389.3742041938731,10.835315704345703,3.0881381034851074
-1400.0,0.5429054937134288,11225.37902071032,2.7899904608830184e-13,0.5418805374366692,10949.346639283582,1.5298873279334657e-13,0.001024956276759581,276.03238142673763,0.6938839962928702,9612.626216411849,2.7899904608830184e-13,0.6938174219842762,9264.458604370664,1.5298873279334657e-13,6.657430859402513e-05,348.16761204118484,9.885401248931885,2.826514482498169
-1600.0,0.4947175130764617,12233.541812670337,2.566835632933362e-13,0.4940508742151185,11981.344611675248,1.20570220474292e-13,0.0006666388613432161,252.1972009950896,0.6196143062425589,10518.63590751361,2.566835632933362e-13,0.6195741017148695,10205.611424387838,1.20570220474292e-13,4.020452768938032e-05,313.02448312577144,8.448030471801758,2.3771188259124756
-1800.0,0.4536243801472099,13270.032994783413,1.9095836023552692e-13,0.4531727248141164,13038.333027614739,5.703215677499429e-13,0.0004516553330934925,231.69996716867354,0.5581083631563714,11476.829616693483,1.9095836023552692e-13,0.5580828173114925,11193.582816699345,5.703215677499429e-13,2.5545844878904767e-05,283.2467999941382,7.608668327331543,2.156609296798706
-2000.0,0.4183439968314294,14329.085120805472,1.199040866595169e-13,0.41802753416820626,14115.091121456571,6.309397448944765e-13,0.0003164626632231604,213.99399934890062,0.5067076592625193,12475.040654883587,1.199040866595169e-13,0.5066907337550722,12217.057650855526,6.309397448944765e-13,1.692550744702981e-05,257.98300402806126,6.983765125274658,1.961845874786377
