,p1 launch,p1 travel time [ns],p1 d(n sin(angle)),s1 launch,s1 travel time [ns],s1 d(n sin(angle)),p-s delta launch 1,p-s delta t 1 [ns],p2 launch,p2 travel time [ns],p2 d(n sin(angle)),s2 launch,s2 travel time [ns],s2 d(n sin(angle)),p-s delta launch 2,p-s delta t 2 [ns],p comp time,s comp time
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.89334058761597,15.68135690689087
-200.0,0.0,0.0,0.0,1.1962639114572937,5823.059601341907,0.0,0.0,0.0,0.0,0.0,0.0,1.3816127548750998,5813.865054824738,0.0,0.0,0.0,32.495622396469116,5.282933235168457
-400.0,0.9117692891197746,5951.683216331323,4.440892098500626e-16,0.8875536679439243,6452.437690213328,6.661338147750939e-16,0.0242156211758503,-500.7544738820052,1.3395465467408791,5435.509566768437,4.440892098500626e-16,1.3465054515132147,6016.671614411178,6.661338147750939e-16,-0.006958904772335517,-581.1620476427406,17.65850329399109,5.181048631668091
-600.0,0.7969621271025569,6784.498053024206,2.886579864025407e-15,0.8173696602434537,7236.879173285893,7.549516567451064e-15,-0.020407533140896827,-452.3811202616871,1.180189845073648,5813.10441094202,2.886579864025407e-15,1.1819769995222749,6373.675981668879,7.549516567451064e-15,-0.0017871544486267599,-560.5715707268591,16.727469444274902,4.5932698249816895
-800.0,0.7304967290388638,7653.1354536780655,4.440892098500626e-16,0.7386929777751028,8082.226890090469,1.7763568394002505e-15,-0.008196248736239031,-429.0914364124037,1.025976926238246,6380.6484752867755,4.440892098500626e-16,1.0266453154323967,6908.98096260601,1.7763568394002505e-15,-0.000668389194150576,-528.3324873192341,13.365824699401855,3.745178461074829
-1000.0,0.6595124351101013,8590.56556779074,2.6645352591003757e-15,0.6636625228731836,8989.881726924614,4.440892098500626e-14,-0.004150087763082344,-399.31615913387395,0.8936619006165079,7100.358489298592,2.6645352591003757e-15,0.8939686978190228,7591.1524357989765,4.440892098500626e-14,-0.00030679720251491904,-490.79394650038466,11.530874013900757,3.216024875640869
-1200.0,0.595668135401031,9579.56083344744,4.1522341120980855e-14,0.5980210606060279,9949.219171590361,3.3306690738754696e-15,-0.0023529252049968585,-369.6583381429209,0.78390908096948,7933.475245662528,4.1522341120980855e-14,0.7840685394373721,8385.802452612546,3.3306690738754696e-15,-0.00015945846789211515,-452.3272069500181,10.154839515686035,2.800354242324829
-1400.0,0.5404433031665861,10607.341344873414,1.1712852909795402e-13,0.5418805374366692,10949.346639283582,1.5298873279334657e-13,-0.001437234270083132,-342.00529441016806,0.693727173335068,8848.883972075644,1.1712852909795402e-13,0.6938174219842762,9264.458604370664,1.5298873279334657e-13,-9.02486492082577e-05,-415.5746322950199,9.006466150283813,2.6188302040100098
-1600.0,0.49312329977842445,11664.4291392931,3.419486915845482e-14,0.4940508742151185,11981.344611675248,1.20570220474292e-13,-0.0009275744366940564,-316.9154723821466,0.6195196400032602,9823.78940781257,3.419486915845482e-14,0.6195741017148695,10205.611424387838,1.20570220474292e-13,-5.446171160927715e-05,-381.8220165752682,7.888921022415161,2.223067045211792
-1800.0,0.45254769191464894,12743.90695063765,9.779954623923004e-13,0.4531727248141164,13038.333027614739,5.703215677499429e-13,-0.0006250328994674703,-294.4260769770881,0.558048229500757,10842.092250354874,9.779954623923004e-13,0.5580828173114925,11193.582816699345,5.703215677499429e-13,-3.458781073539807e-05,-351.4905663444715,7.157024145126343,2.1941325664520264
-2000.0,0.41759133584203145,13840.727379743472,1.319611087069461e-12,0.41802753416820626,14115.091121456571,6.309397448944765e-13,-0.00043619832617480814,-274.36374171309944,0.5066678253927714,11892.525798636061,1.319611087069461e-12,0.5066907337550722,12217.057650855526,6.309397448944765e-13,-2.290836230078863e-05,-324.5318522194648,6.611544370651245,1.8565874099731445
