,p1 launch,p1 travel time [ns],p1 d(n sin(angle)),s1 launch,s1 travel time [ns],s1 d(n sin(angle)),p-s delta launch 1,p-s delta t 1 [ns],p2 launch,p2 travel time [ns],p2 d(n sin(angle)),s2 launch,s2 travel time [ns],s2 d(n sin(angle)),p-s delta launch 2,p-s delta t 2 [ns],p comp time,s comp time
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.53730535507202,15.268799304962158
-200.0,1.1952187516638566,5828.485746766195,2.220446049250313e-16,1.1962639114572937,5823.059601341907,0.0,-0.0010451597934371115,5.426145424287824,1.3824845623397926,5819.597160253538,2.220446049250313e-16,1.3816127548750998,5813.865054824738,0.0,0.000871807464692731,5.732105428800423,18.73960781097412,5.304437637329102
-400.0,0.8873391368669814,6457.032733106942,8.881784197001252e-16,0.8875536679439243,6452.437690213328,6.661338147750939e-16,-0.0002145310769429143,4.595042893613936,1.3465629918124677,6022.452898358665,8.881784197001252e-16,1.3465054515132147,6016.671614411178,6.661338147750939e-16,5.7540299253089344e-05,5.781283947487282,17.222097396850586,4.947341442108154
-600.0,0.8175202269485734,7241.207137397372,8.215650382226158e-15,0.8173696602434537,7236.879173285893,7.549516567451064e-15,0.0001505667051197035,4.3279641114795595,1.1819920479872736,6379.168620035724,8.215650382226158e-15,1.1819769995222749,6373.675981668879,7.549516567451064e-15,1.504846499877921e-05,5.492638366845313,15.356478929519653,4.393127202987671
-800.0,0.7387583555761822,8086.221829807499,2.4424906541753444e-15,0.7386929777751028,8082.226890090469,1.7763568394002505e-15,6.537780107940261e-05,3.9949397170294105,1.0266509728425486,6914.0587941546255,2.4424906541753444e-15,1.0266453154323967,6908.98096260601,1.7763568394002505e-15,5.657410151904685e-06,5.0778315486159045,13.240193128585815,3.796947956085205
-1000.0,0.6636964430139731,8993.536060961998,4.596323321948148e-14,0.6636625228731836,8989.881726924614,4.440892098500626e-14,3.392014078951178e-05,3.654334037384615,0.8939713004461195,7595.778338161813,4.596323321948148e-14,0.8939686978190228,7591.1524357989765,4.440892098500626e-14,2.6026270967260956e-06,4.625902362836314,11.477255582809448,3.2693374156951904
-1200.0,0.5980405239462783,9952.558719790972,4.884981308350689e-15,0.5980210606060279,9949.219171590361,3.3306690738754696e-15,1.9463340250380767e-05,3.339548200610807,0.7840698937263922,8389.99212833752,4.884981308350689e-15,0.7840685394373721,8385.802452612546,3.3306690738754696e-15,1.3542890201501123e-06,4.189675724974222,9.991527080535889,2.855595111846924
-1400.0,0.541892510730203,10952.405585523718,1.5432100042289676e-13,0.5418805374366692,10949.346639283582,1.5298873279334657e-13,1.1973293533751317e-05,3.05894624013672,0.6938181889869679,9268.252100658423,1.5432100042289676e-13,0.6938174219842762,9264.458604370664,1.5298873279334657e-13,7.670026916928308e-07,3.7934962877588987,8.814042568206787,2.5105702877044678
-1600.0,0.4940586375013669,11984.156914147467,1.20570220474292e-13,0.4940508742151185,11981.344611675248,1.20570220474292e-13,7.76328624840783e-06,2.8123024722190166,0.6195745647693164,10209.055806093775,1.20570220474292e-13,0.6195741017148695,10205.611424387838,1.20570220474292e-13,4.630544468975373e-07,3.4443817059363937,7.834312915802002,2.2617716789245605
-1800.0,0.45317797291988204,13040.929452563689,5.649924972317422e-13,0.4531727248141164,13038.333027614739,5.703215677499429e-13,5.248105765631728e-06,2.596424948949789,0.5580831114743475,11196.723664556383,5.649924972317422e-13,0.5580828173114925,11193.582816699345,5.703215677499429e-13,2.941628550745534e-07,3.1408478570374427,7.092672824859619,2.0435218811035156
-2000.0,0.4180312053748376,14117.498490155356,6.248335182590381e-13,0.41802753416820626,14115.091121456571,6.309397448944765e-13,3.6712066313615566e-06,2.4073686987849214,0.5066909286255884,12219.935710817304,6.248335182590381e-13,0.5066907337550722,12217.057650855526,6.309397448944765e-13,1.948705161680664e-07,2.87805996177849,6.496166944503784,1.8498084545135498
